Value,Methods,metrics
,,
0.783975,U-Net,DSC
,,
0.548175,U-Net,DSC
,,
0.879925,U-Net,DSC
,,
0.867425,U-Net,DSC
,,
0.56855,U-Net,DSC
,,
0.611075,U-Net,DSC
,,
0.607075,U-Net,DSC
,,
0.9112,U-Net,DSC
,,
0.792875,U-Net,DSC
,,
0.9105,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,Attention U-Net,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,LEDNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
,HRNet,DSC
,,
